pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Julio Teheran,4 Seam Fastball,0.309,1.719,L,0.0,0.0
Julio Teheran,4 Seam Fastball,0.134,1.8519999999999999,L,0.0,1.0
Julio Teheran,4 Seam Fastball,-1.268,1.986,L,0.0,0.0
Julio Teheran,Changeup,-0.705,1.7069999999999999,L,1.0,0.0
Julio Teheran,Curveball,0.71,1.183,L,1.0,1.0
Julio Teheran,2 Seam Fastball,-1.626,1.9980000000000002,L,2.0,1.0
Julio Teheran,4 Seam Fastball,-0.485,2.349,L,3.0,1.0
Julio Teheran,2 Seam Fastball,-1.218,2.5610000000000004,R,0.0,0.0
Julio Teheran,Slider,1.138,1.419,R,0.0,1.0
Julio Teheran,4 Seam Fastball,0.46,2.028,R,1.0,1.0
Julio Teheran,Slider,1.469,1.258,R,1.0,2.0
Julio Teheran,Slider,0.59,1.1340000000000001,R,2.0,2.0
Julio Teheran,4 Seam Fastball,-0.261,2.501,R,3.0,2.0
Julio Teheran,2 Seam Fastball,-1.8780000000000001,2.765,R,0.0,0.0
Julio Teheran,2 Seam Fastball,-1.58,1.73,R,1.0,0.0
Julio Teheran,Slider,-0.599,2.488,R,1.0,1.0
Julio Teheran,Slider,1.1909999999999998,1.301,R,1.0,2.0
Julio Teheran,2 Seam Fastball,-0.13,3.569,R,2.0,2.0
Julio Teheran,2 Seam Fastball,0.88,2.135,R,0.0,0.0
Julio Teheran,2 Seam Fastball,0.652,1.661,R,1.0,0.0
Julio Teheran,Changeup,-1.31,2.859,R,1.0,1.0
Julio Teheran,Slider,0.8640000000000001,-0.067,R,1.0,2.0
Julio Teheran,2 Seam Fastball,-2.004,2.434,R,2.0,2.0
Julio Teheran,4 Seam Fastball,-0.046,3.5069999999999997,R,2.0,2.0
Julio Teheran,2 Seam Fastball,0.4370000000000001,2.013,R,2.0,2.0
Julio Teheran,Curveball,0.478,1.173,R,0.0,0.0
Julio Teheran,Slider,0.284,1.82,R,0.0,1.0
Julio Teheran,4 Seam Fastball,0.575,2.846,R,0.0,2.0
Julio Teheran,4 Seam Fastball,-0.41600000000000004,3.986,R,0.0,2.0
Julio Teheran,2 Seam Fastball,-2.024,3.322,L,0.0,0.0
Julio Teheran,2 Seam Fastball,-1.197,2.603,L,1.0,0.0
Julio Teheran,Curveball,-0.24600000000000002,2.3890000000000002,L,1.0,1.0
Julio Teheran,4 Seam Fastball,0.715,4.784,L,1.0,2.0
Julio Teheran,Slider,0.9420000000000001,1.238,L,2.0,2.0
Julio Teheran,4 Seam Fastball,-0.475,2.9360000000000004,L,3.0,2.0
Julio Teheran,2 Seam Fastball,-0.373,2.27,R,0.0,0.0
Julio Teheran,Slider,0.23399999999999999,2.012,R,0.0,1.0
Julio Teheran,4 Seam Fastball,0.29,2.488,R,0.0,0.0
Julio Teheran,4 Seam Fastball,0.07200000000000001,2.824,R,0.0,1.0
Julio Teheran,4 Seam Fastball,0.502,3.4219999999999997,R,0.0,2.0
Julio Teheran,Slider,-0.9940000000000001,3.0260000000000002,R,0.0,2.0
Julio Teheran,4 Seam Fastball,-0.633,2.571,L,0.0,0.0
Julio Teheran,Slider,0.09300000000000001,1.2570000000000001,L,0.0,1.0
Julio Teheran,4 Seam Fastball,0.494,3.0260000000000002,L,0.0,2.0
Julio Teheran,2 Seam Fastball,-1.771,2.67,L,0.0,0.0
Julio Teheran,Curveball,0.033,2.544,L,0.0,0.0
Julio Teheran,2 Seam Fastball,-1.265,1.756,L,0.0,1.0
Julio Teheran,Slider,0.08,1.15,L,0.0,2.0
Julio Teheran,4 Seam Fastball,-0.995,2.234,L,1.0,2.0
Julio Teheran,Slider,0.122,2.478,R,0.0,0.0
Julio Teheran,2 Seam Fastball,-1.4780000000000002,3.406,R,0.0,1.0
Julio Teheran,Slider,-0.21600000000000005,2.557,R,1.0,1.0
Julio Teheran,4 Seam Fastball,0.9309999999999999,2.661,R,0.0,0.0
Julio Teheran,2 Seam Fastball,0.243,2.491,R,1.0,0.0
Julio Teheran,2 Seam Fastball,-1.685,1.6119999999999999,R,1.0,1.0
Julio Teheran,Changeup,-1.149,1.716,R,2.0,1.0
Julio Teheran,2 Seam Fastball,-1.127,2.205,R,0.0,0.0
Julio Teheran,2 Seam Fastball,-0.669,1.776,R,0.0,1.0
Julio Teheran,2 Seam Fastball,0.006999999999999999,2.488,R,0.0,0.0
Julio Teheran,Slider,0.203,2.775,R,0.0,1.0
Julio Teheran,Slider,1.237,0.019,R,0.0,2.0
Julio Teheran,4 Seam Fastball,-0.02,3.575,R,1.0,2.0
Julio Teheran,2 Seam Fastball,-0.55,3.117,L,0.0,0.0
Julio Teheran,2 Seam Fastball,0.23,2.06,L,0.0,1.0
Julio Teheran,4 Seam Fastball,-0.004,4.61,L,0.0,2.0
Julio Teheran,Curveball,-0.542,1.0490000000000002,L,1.0,2.0
Julio Teheran,4 Seam Fastball,-1.0959999999999999,2.6719999999999997,L,2.0,2.0
Julio Teheran,2 Seam Fastball,-0.889,2.147,R,0.0,0.0
Julio Teheran,2 Seam Fastball,-1.247,2.985,R,0.0,1.0
Julio Teheran,4 Seam Fastball,-0.165,2.2969999999999997,R,0.0,0.0
Julio Teheran,4 Seam Fastball,0.552,3.105,R,0.0,1.0
Julio Teheran,Slider,1.757,-0.196,R,0.0,2.0
Julio Teheran,4 Seam Fastball,-0.38,3.034,R,1.0,2.0
Julio Teheran,2 Seam Fastball,-2.543,3.595,L,0.0,0.0
Julio Teheran,2 Seam Fastball,-2.198,2.539,L,1.0,0.0
Julio Teheran,2 Seam Fastball,-0.95,3.7,L,2.0,0.0
Julio Teheran,4 Seam Fastball,-0.7909999999999999,2.242,L,3.0,0.0
Julio Teheran,2 Seam Fastball,-0.584,3.096,L,3.0,1.0
Julio Teheran,2 Seam Fastball,-0.762,2.696,L,3.0,2.0
Julio Teheran,2 Seam Fastball,-2.083,2.753,L,0.0,0.0
Julio Teheran,Curveball,-0.795,3.1839999999999997,L,1.0,0.0
Julio Teheran,Changeup,-1.38,0.919,L,1.0,1.0
Julio Teheran,Curveball,-0.575,3.1189999999999998,L,2.0,1.0
Julio Teheran,Slider,0.054000000000000006,0.494,L,2.0,2.0
Julio Teheran,4 Seam Fastball,-0.384,1.7280000000000002,L,3.0,2.0
Julio Teheran,2 Seam Fastball,0.094,1.421,L,3.0,2.0
Julio Teheran,2 Seam Fastball,-1.3130000000000002,2.575,R,0.0,0.0
Julio Teheran,Slider,0.6629999999999999,0.5820000000000001,R,0.0,0.0
Julio Teheran,Slider,0.363,2.45,R,1.0,0.0
Julio Teheran,2 Seam Fastball,-0.46,1.8159999999999998,R,1.0,1.0
Julio Teheran,2 Seam Fastball,0.9279999999999999,1.382,R,0.0,0.0
Julio Teheran,2 Seam Fastball,0.146,1.669,R,1.0,0.0
Julio Teheran,2 Seam Fastball,-0.825,1.445,R,1.0,1.0
