pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Sonny Gray,4 Seam Fastball,-0.21600000000000005,2.1719999999999997,L,0.0,0.0
Sonny Gray,4 Seam Fastball,0.871,2.54,L,0.0,1.0
Sonny Gray,4 Seam Fastball,1.185,1.745,L,0.0,2.0
Sonny Gray,Curveball,-0.981,2.905,L,1.0,2.0
Sonny Gray,2 Seam Fastball,-0.24100000000000002,2.292,R,0.0,0.0
Sonny Gray,2 Seam Fastball,0.7959999999999999,1.456,R,0.0,1.0
Sonny Gray,Curveball,-0.355,1.757,R,1.0,1.0
Sonny Gray,Cutter,0.019,0.648,R,1.0,2.0
Sonny Gray,Slider,1.285,0.5539999999999999,R,2.0,2.0
Sonny Gray,2 Seam Fastball,0.37799999999999995,3.153,R,3.0,2.0
Sonny Gray,4 Seam Fastball,-0.32799999999999996,3.815,L,0.0,0.0
Sonny Gray,4 Seam Fastball,-0.26,2.6460000000000004,L,0.0,1.0
Sonny Gray,4 Seam Fastball,1.781,0.8240000000000001,L,0.0,2.0
Sonny Gray,4 Seam Fastball,-0.632,3.0269999999999997,L,1.0,2.0
Sonny Gray,2 Seam Fastball,0.374,2.059,R,0.0,0.0
Sonny Gray,Slider,1.567,0.1,R,0.0,1.0
Sonny Gray,2 Seam Fastball,-0.024,1.599,R,1.0,1.0
Sonny Gray,Curveball,-0.135,3.333,L,0.0,0.0
Sonny Gray,Changeup,-1.993,3.418,L,0.0,1.0
Sonny Gray,4 Seam Fastball,0.574,2.9389999999999996,L,1.0,1.0
Sonny Gray,2 Seam Fastball,0.975,2.535,R,0.0,0.0
Sonny Gray,4 Seam Fastball,0.295,4.886,R,0.0,1.0
Sonny Gray,Slider,0.865,0.759,R,1.0,1.0
Sonny Gray,Slider,1.796,0.21100000000000002,R,1.0,2.0
Sonny Gray,Slider,1.103,1.9980000000000002,R,2.0,2.0
Sonny Gray,Slider,0.9890000000000001,1.891,R,2.0,2.0
Sonny Gray,4 Seam Fastball,-0.899,3.427,L,0.0,0.0
Sonny Gray,2 Seam Fastball,-0.48100000000000004,2.748,L,0.0,1.0
Sonny Gray,2 Seam Fastball,1.002,1.0,R,0.0,0.0
Sonny Gray,2 Seam Fastball,-0.9590000000000001,2.398,R,1.0,0.0
Sonny Gray,4 Seam Fastball,0.506,1.493,R,2.0,0.0
Sonny Gray,2 Seam Fastball,0.385,2.394,R,2.0,1.0
Sonny Gray,4 Seam Fastball,1.694,3.4760000000000004,L,0.0,0.0
Sonny Gray,4 Seam Fastball,-0.802,1.5330000000000001,L,0.0,0.0
Sonny Gray,2 Seam Fastball,-0.26,2.1430000000000002,L,0.0,1.0
Sonny Gray,Changeup,0.436,2.715,R,0.0,0.0
Sonny Gray,2 Seam Fastball,1.421,2.44,R,0.0,1.0
Sonny Gray,2 Seam Fastball,-0.071,1.7109999999999999,R,1.0,1.0
Sonny Gray,Slider,2.282,0.402,R,1.0,2.0
Sonny Gray,Curveball,0.764,3.014,R,2.0,2.0
Sonny Gray,4 Seam Fastball,1.071,3.153,L,0.0,0.0
Sonny Gray,2 Seam Fastball,0.53,1.797,L,1.0,0.0
Sonny Gray,Changeup,-1.624,3.2230000000000003,L,1.0,1.0
Sonny Gray,Cutter,0.833,2.752,L,1.0,2.0
Sonny Gray,Changeup,-0.632,2.17,R,0.0,0.0
Sonny Gray,Slider,1.052,3.7689999999999997,R,0.0,1.0
Sonny Gray,4 Seam Fastball,0.649,3.485,R,0.0,2.0
Sonny Gray,2 Seam Fastball,0.619,0.396,L,0.0,0.0
Sonny Gray,4 Seam Fastball,-1.521,3.6519999999999997,L,1.0,0.0
Sonny Gray,2 Seam Fastball,0.287,2.4819999999999998,L,2.0,0.0
Sonny Gray,2 Seam Fastball,-0.273,2.185,L,2.0,1.0
Sonny Gray,Curveball,-0.78,2.05,L,2.0,2.0
Sonny Gray,Curveball,0.8440000000000001,2.2640000000000002,R,0.0,0.0
Sonny Gray,Curveball,0.654,2.38,R,0.0,1.0
Sonny Gray,4 Seam Fastball,-0.499,2.501,L,0.0,0.0
Sonny Gray,Curveball,0.385,1.462,L,0.0,1.0
Sonny Gray,Curveball,0.518,0.19699999999999998,L,1.0,1.0
Sonny Gray,2 Seam Fastball,0.44299999999999995,2.073,L,2.0,1.0
Sonny Gray,4 Seam Fastball,2.017,0.875,L,2.0,2.0
Sonny Gray,4 Seam Fastball,-0.209,1.694,L,3.0,2.0
Sonny Gray,4 Seam Fastball,-0.4370000000000001,2.716,L,3.0,2.0
Sonny Gray,2 Seam Fastball,-0.172,1.2990000000000002,R,0.0,0.0
Sonny Gray,2 Seam Fastball,0.113,2.476,R,1.0,0.0
Sonny Gray,Slider,1.088,1.589,R,1.0,1.0
Sonny Gray,2 Seam Fastball,-0.759,3.293,R,2.0,1.0
Sonny Gray,Slider,0.423,4.05,R,2.0,2.0
Sonny Gray,2 Seam Fastball,-0.221,2.68,R,3.0,2.0
Sonny Gray,4 Seam Fastball,-0.012,3.2710000000000004,L,0.0,0.0
Sonny Gray,2 Seam Fastball,1.306,2.966,L,0.0,0.0
Sonny Gray,Curveball,-0.069,2.8110000000000004,L,1.0,0.0
Sonny Gray,Curveball,0.9390000000000001,1.209,R,0.0,0.0
Sonny Gray,2 Seam Fastball,0.512,1.534,R,1.0,0.0
Sonny Gray,4 Seam Fastball,0.7559999999999999,2.8089999999999997,R,1.0,1.0
Sonny Gray,Slider,-0.622,1.5319999999999998,R,1.0,2.0
Sonny Gray,4 Seam Fastball,-0.331,2.878,L,0.0,0.0
Sonny Gray,Curveball,-0.026000000000000002,2.093,L,0.0,1.0
Sonny Gray,Curveball,0.099,3.635,R,0.0,0.0
Sonny Gray,2 Seam Fastball,-0.11,1.818,R,1.0,0.0
Sonny Gray,Changeup,-0.046,1.392,R,1.0,1.0
Sonny Gray,2 Seam Fastball,0.136,2.476,R,2.0,1.0
Sonny Gray,Curveball,-0.5670000000000001,2.685,L,0.0,0.0
Sonny Gray,4 Seam Fastball,0.996,2.332,L,0.0,1.0
Sonny Gray,4 Seam Fastball,0.426,3.1910000000000003,L,0.0,2.0
Sonny Gray,2 Seam Fastball,0.545,3.278,R,0.0,0.0
Sonny Gray,2 Seam Fastball,0.023,3.0839999999999996,R,0.0,1.0
Sonny Gray,2 Seam Fastball,0.602,2.855,R,0.0,2.0
Sonny Gray,2 Seam Fastball,-0.9640000000000001,2.877,L,0.0,0.0
Sonny Gray,2 Seam Fastball,-0.6559999999999999,2.307,L,1.0,0.0
Sonny Gray,Curveball,-1.1740000000000002,2.765,L,1.0,1.0
Sonny Gray,4 Seam Fastball,0.612,2.969,L,1.0,2.0
Sonny Gray,Curveball,0.419,2.685,L,1.0,2.0
Sonny Gray,2 Seam Fastball,1.1179999999999999,1.9769999999999999,R,0.0,0.0
Sonny Gray,Curveball,0.9,3.1310000000000002,R,1.0,0.0
Sonny Gray,Changeup,0.044000000000000004,1.254,R,1.0,1.0
Sonny Gray,4 Seam Fastball,0.22699999999999998,4.32,R,2.0,1.0
Sonny Gray,2 Seam Fastball,-0.491,2.458,R,3.0,1.0
Sonny Gray,4 Seam Fastball,-0.4370000000000001,3.551,R,3.0,2.0
Sonny Gray,2 Seam Fastball,0.8390000000000001,2.64,L,0.0,0.0
Trevor Bauer,4 Seam Fastball,0.02,5.1320000000000014,R,0.0,0.0
Trevor Bauer,4 Seam Fastball,-0.299,3.867,R,1.0,0.0
Trevor Bauer,4 Seam Fastball,-0.18100000000000002,2.246,R,2.0,0.0
Trevor Bauer,4 Seam Fastball,-0.32,2.7430000000000003,R,2.0,1.0
Trevor Bauer,Slider,1.0290000000000001,1.472,R,2.0,2.0
Trevor Bauer,4 Seam Fastball,1.155,1.0170000000000001,R,3.0,2.0
Trevor Bauer,Cutter,0.43,3.1430000000000002,R,0.0,0.0
Trevor Bauer,Cutter,0.507,1.635,R,0.0,1.0
Trevor Bauer,4 Seam Fastball,0.053,4.502,R,0.0,2.0
Trevor Bauer,Cutter,1.777,0.447,R,1.0,2.0
Trevor Bauer,Curveball,0.5920000000000001,0.966,R,2.0,2.0
Trevor Bauer,Cutter,0.408,2.0380000000000003,R,3.0,2.0
Trevor Bauer,4 Seam Fastball,0.027000000000000003,1.306,L,0.0,0.0
Trevor Bauer,4 Seam Fastball,1.239,3.123,L,1.0,0.0
Trevor Bauer,4 Seam Fastball,-1.252,2.571,L,2.0,0.0
Trevor Bauer,4 Seam Fastball,0.364,2.009,L,3.0,0.0
Trevor Bauer,4 Seam Fastball,0.203,1.3030000000000002,L,3.0,1.0
Trevor Bauer,4 Seam Fastball,0.611,3.508,L,3.0,2.0
Trevor Bauer,Cutter,1.305,2.0709999999999997,R,0.0,0.0
Trevor Bauer,Cutter,0.631,1.6640000000000001,R,1.0,0.0
Trevor Bauer,4 Seam Fastball,-0.251,2.8819999999999997,R,1.0,1.0
Trevor Bauer,4 Seam Fastball,-0.856,4.0489999999999995,R,1.0,2.0
Trevor Bauer,Cutter,1.192,0.86,R,0.0,0.0
Trevor Bauer,Slider,0.763,2.329,R,0.0,1.0
Trevor Bauer,4 Seam Fastball,-0.863,4.7330000000000005,R,0.0,2.0
Trevor Bauer,4 Seam Fastball,0.078,3.1189999999999998,R,1.0,2.0
Trevor Bauer,Cutter,-0.301,3.4930000000000003,L,0.0,0.0
Trevor Bauer,4 Seam Fastball,0.379,1.456,L,1.0,0.0
Trevor Bauer,4 Seam Fastball,-0.755,3.617,L,1.0,1.0
Trevor Bauer,Cutter,0.605,2.191,L,2.0,1.0
Trevor Bauer,Changeup,0.342,0.431,L,2.0,2.0
Trevor Bauer,4 Seam Fastball,-0.368,2.302,L,0.0,0.0
Trevor Bauer,4 Seam Fastball,-0.6920000000000001,4.272,L,0.0,1.0
Trevor Bauer,Slider,0.812,2.11,L,1.0,1.0
Trevor Bauer,Cutter,0.401,1.0590000000000002,L,2.0,1.0
Trevor Bauer,2 Seam Fastball,0.8390000000000001,2.173,L,2.0,2.0
Trevor Bauer,4 Seam Fastball,-0.993,3.71,L,0.0,0.0
Trevor Bauer,Changeup,-0.531,1.7009999999999998,L,1.0,0.0
Trevor Bauer,4 Seam Fastball,-0.467,3.508,L,1.0,1.0
Trevor Bauer,Curveball,1.146,-0.358,L,1.0,2.0
Trevor Bauer,Curveball,-0.036000000000000004,2.262,L,2.0,2.0
Trevor Bauer,4 Seam Fastball,1.131,2.013,L,2.0,2.0
Trevor Bauer,4 Seam Fastball,0.273,3.387,L,3.0,2.0
Trevor Bauer,Slider,0.475,1.965,L,3.0,2.0
Trevor Bauer,Changeup,0.8170000000000001,0.779,L,3.0,2.0
Trevor Bauer,4 Seam Fastball,-0.303,4.313,L,0.0,0.0
Trevor Bauer,Changeup,-0.153,1.23,L,1.0,0.0
Trevor Bauer,4 Seam Fastball,0.598,3.3569999999999998,L,1.0,1.0
Trevor Bauer,Changeup,-0.07,2.9589999999999996,L,2.0,1.0
Trevor Bauer,2 Seam Fastball,0.07200000000000001,3.7560000000000002,L,2.0,2.0
Trevor Bauer,Slider,1.61,2.3209999999999997,L,3.0,2.0
Trevor Bauer,Slider,0.607,1.742,R,0.0,0.0
Trevor Bauer,4 Seam Fastball,-0.871,3.787,R,0.0,1.0
Trevor Bauer,Slider,-0.205,2.5180000000000002,R,1.0,1.0
Trevor Bauer,4 Seam Fastball,-0.16,2.148,R,0.0,0.0
Trevor Bauer,Slider,0.125,1.45,R,0.0,1.0
Trevor Bauer,Curveball,-0.612,1.151,R,0.0,2.0
Trevor Bauer,2 Seam Fastball,0.281,1.702,R,1.0,2.0
Trevor Bauer,Changeup,-1.136,2.081,L,0.0,0.0
Trevor Bauer,4 Seam Fastball,-0.243,2.877,L,1.0,0.0
Trevor Bauer,Slider,-0.142,2.727,L,1.0,1.0
Trevor Bauer,2 Seam Fastball,0.26899999999999996,2.997,L,1.0,2.0
Trevor Bauer,Changeup,0.439,0.636,L,1.0,2.0
Trevor Bauer,4 Seam Fastball,0.091,2.66,L,2.0,2.0
Trevor Bauer,Changeup,0.153,1.037,L,2.0,2.0
Trevor Bauer,4 Seam Fastball,-0.184,2.066,L,3.0,2.0
Trevor Bauer,Cutter,0.9540000000000001,0.55,R,0.0,0.0
Trevor Bauer,4 Seam Fastball,0.36,3.44,R,1.0,0.0
Trevor Bauer,4 Seam Fastball,0.679,3.633,R,1.0,1.0
Trevor Bauer,Cutter,0.391,1.516,R,2.0,1.0
Trevor Bauer,2 Seam Fastball,0.26899999999999996,2.855,R,2.0,2.0
Trevor Bauer,4 Seam Fastball,0.122,4.32,R,0.0,0.0
Trevor Bauer,Cutter,0.598,2.036,R,1.0,0.0
Trevor Bauer,Slider,0.484,1.3119999999999998,R,1.0,1.0
Trevor Bauer,4 Seam Fastball,0.862,2.273,R,1.0,2.0
Trevor Bauer,4 Seam Fastball,-0.433,1.9069999999999998,L,0.0,0.0
Trevor Bauer,4 Seam Fastball,0.914,2.24,L,0.0,1.0
Trevor Bauer,Changeup,-0.245,1.643,L,1.0,1.0
Trevor Bauer,Changeup,-0.008,2.582,L,0.0,0.0
Trevor Bauer,Changeup,0.064,0.8590000000000001,L,0.0,1.0
Trevor Bauer,4 Seam Fastball,-0.004,2.658,L,1.0,1.0
Trevor Bauer,Changeup,0.35100000000000003,2.7310000000000003,L,1.0,2.0
Trevor Bauer,Changeup,0.312,2.658,L,0.0,0.0
Trevor Bauer,Changeup,-0.26,4.171,L,0.0,0.0
Trevor Bauer,4 Seam Fastball,-0.6659999999999999,2.8480000000000003,L,1.0,0.0
Trevor Bauer,4 Seam Fastball,-0.765,4.12,L,1.0,1.0
Trevor Bauer,Slider,0.402,1.501,L,2.0,1.0
Trevor Bauer,Curveball,-0.613,2.365,L,2.0,2.0
Trevor Bauer,4 Seam Fastball,0.6829999999999999,2.396,R,0.0,0.0
Trevor Bauer,Cutter,-1.0979999999999999,2.802,R,0.0,1.0
Trevor Bauer,Slider,-0.9440000000000001,3.853,R,0.0,0.0
Trevor Bauer,4 Seam Fastball,-1.375,4.001,R,1.0,0.0
Trevor Bauer,Slider,-0.045,2.637,R,2.0,0.0
Trevor Bauer,Slider,-0.059000000000000004,2.204,R,2.0,1.0
Trevor Bauer,2 Seam Fastball,0.7809999999999999,1.286,R,2.0,2.0
Trevor Bauer,4 Seam Fastball,-0.11199999999999999,3.589,R,3.0,2.0
Trevor Bauer,4 Seam Fastball,0.3720000000000001,2.764,L,0.0,0.0
Trevor Bauer,Changeup,0.278,1.5130000000000001,L,0.0,1.0
Trevor Bauer,Changeup,-0.522,1.1420000000000001,L,0.0,2.0
Trevor Bauer,Curveball,1.272,-0.489,L,1.0,2.0
Trevor Bauer,4 Seam Fastball,0.312,3.083,L,2.0,2.0
Trevor Bauer,4 Seam Fastball,0.647,2.952,L,2.0,2.0
Trevor Bauer,Cutter,1.507,2.635,L,2.0,2.0
Trevor Bauer,4 Seam Fastball,0.498,3.323,L,3.0,2.0
Trevor Bauer,4 Seam Fastball,0.37799999999999995,1.768,R,0.0,0.0
Trevor Bauer,Slider,1.767,0.14800000000000002,R,0.0,1.0
Trevor Bauer,Cutter,0.369,2.342,R,1.0,1.0
Trevor Bauer,Curveball,0.643,-0.038,R,1.0,2.0
Trevor Bauer,4 Seam Fastball,0.32,3.2939999999999996,R,0.0,0.0
Trevor Bauer,4 Seam Fastball,-1.1440000000000001,3.95,R,0.0,1.0
Trevor Bauer,Cutter,0.293,2.9139999999999997,R,1.0,1.0
Tanner Roark,Curveball,-0.37,2.835,L,0.0,0.0
Tanner Roark,Sinker,-1.5119999999999998,2.495,L,0.0,1.0
Tanner Roark,2 Seam Fastball,-3.46,3.174,L,1.0,1.0
Tanner Roark,Sinker,-0.14300000000000002,3.8089999999999997,L,2.0,1.0
Tanner Roark,Sinker,-0.925,1.8730000000000002,L,3.0,1.0
Tanner Roark,Slider,-0.42100000000000004,1.1840000000000002,R,0.0,0.0
Tanner Roark,Sinker,-0.205,2.99,R,1.0,0.0
Tanner Roark,Sinker,0.107,3.035,R,1.0,1.0
Tanner Roark,Sinker,-0.65,4.588,R,1.0,2.0
Tanner Roark,Sinker,-1.199,2.2430000000000003,R,2.0,2.0
Tanner Roark,Curveball,-0.08800000000000001,2.217,R,2.0,2.0
Tanner Roark,Sinker,-0.493,1.8319999999999999,R,2.0,2.0
Tanner Roark,2 Seam Fastball,0.5870000000000001,1.797,R,0.0,0.0
Tanner Roark,Sinker,-0.13699999999999998,2.634,R,0.0,1.0
Tanner Roark,Slider,1.2009999999999998,1.153,R,0.0,0.0
Tanner Roark,Sinker,0.882,3.0039999999999996,R,1.0,0.0
Tanner Roark,Sinker,0.017,1.8769999999999998,R,2.0,0.0
Tanner Roark,Sinker,-0.993,3.012,R,2.0,1.0
Tanner Roark,Slider,0.618,1.7990000000000002,R,2.0,2.0
Tanner Roark,Sinker,-1.429,3.786,R,2.0,2.0
Tanner Roark,Sinker,-0.772,2.396,R,3.0,2.0
Tanner Roark,2 Seam Fastball,-0.431,2.9560000000000004,R,3.0,2.0
Tanner Roark,Curveball,-0.589,2.6510000000000002,L,0.0,0.0
Tanner Roark,Changeup,-1.443,2.458,L,0.0,1.0
Tanner Roark,Sinker,-0.18899999999999997,2.292,L,1.0,1.0
Tanner Roark,Sinker,0.52,2.051,L,1.0,2.0
Tanner Roark,Sinker,0.759,2.965,L,0.0,0.0
Tanner Roark,Changeup,-0.963,1.8630000000000002,L,1.0,0.0
Tanner Roark,Sinker,-1.882,3.367,L,1.0,1.0
Tanner Roark,Changeup,-0.209,1.295,L,2.0,1.0
Tanner Roark,Sinker,1.886,2.411,L,2.0,2.0
Tanner Roark,Changeup,0.542,2.0180000000000002,L,3.0,2.0
Tanner Roark,Sinker,-0.19,2.9389999999999996,L,3.0,2.0
Anthony DeSclafani,2 Seam Fastball,0.44299999999999995,1.984,R,0.0,0.0
Anthony DeSclafani,Changeup,-0.038,2.89,R,0.0,1.0
Anthony DeSclafani,2 Seam Fastball,-0.242,2.456,L,0.0,0.0
Anthony DeSclafani,2 Seam Fastball,-1.7369999999999999,2.349,L,0.0,1.0
Anthony DeSclafani,Changeup,-0.294,1.7719999999999998,L,1.0,1.0
Anthony DeSclafani,4 Seam Fastball,0.715,2.614,R,0.0,0.0
Anthony DeSclafani,Slider,0.866,1.881,R,0.0,1.0
Anthony DeSclafani,Slider,1.3130000000000002,2.283,R,1.0,1.0
Anthony DeSclafani,2 Seam Fastball,0.163,1.0759999999999998,R,2.0,1.0
Anthony DeSclafani,4 Seam Fastball,1.3030000000000002,0.529,R,3.0,1.0
Anthony DeSclafani,2 Seam Fastball,-0.175,1.618,L,0.0,0.0
Anthony DeSclafani,Changeup,-0.09699999999999999,1.828,L,1.0,0.0
Anthony DeSclafani,2 Seam Fastball,-1.338,2.073,L,1.0,1.0
Anthony DeSclafani,2 Seam Fastball,-0.8029999999999999,1.6,L,2.0,1.0
