pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Jeurys Familia,Sinker,-0.12,2.451,L,0.0,0.0
Jeurys Familia,Slider,-1.266,2.8930000000000002,L,0.0,1.0
Jeurys Familia,Sinker,-0.74,3.8139999999999996,L,1.0,1.0
Jeurys Familia,Sinker,-0.102,1.725,L,2.0,1.0
Jeurys Familia,4 Seam Fastball,0.33299999999999996,2.957,L,2.0,2.0
Jeurys Familia,Sinker,-1.169,1.619,L,2.0,2.0
Jeurys Familia,Slider,0.993,-0.138,L,2.0,2.0
Jeurys Familia,Sinker,0.325,1.72,L,3.0,2.0
Jeurys Familia,Slider,-0.436,2.1630000000000003,R,0.0,0.0
Jeurys Familia,Sinker,-1.7009999999999998,1.743,R,0.0,1.0
Jeurys Familia,Sinker,-0.545,0.8640000000000001,R,1.0,1.0
Jeurys Familia,Slider,1.014,0.41100000000000003,R,1.0,2.0
Jeurys Familia,Sinker,-1.203,1.349,R,0.0,0.0
Jeurys Familia,Sinker,-0.7070000000000001,1.8419999999999999,R,1.0,0.0
Jacob deGrom,4 Seam Fastball,-1.069,2.763,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,-0.003,1.8159999999999998,R,0.0,1.0
Jacob deGrom,2 Seam Fastball,-1.564,2.123,R,0.0,2.0
Jacob deGrom,4 Seam Fastball,0.299,3.1919999999999997,R,0.0,0.0
Jacob deGrom,Slider,1.345,1.5019999999999998,R,0.0,1.0
Jacob deGrom,4 Seam Fastball,-0.239,2.555,R,1.0,1.0
Jacob deGrom,4 Seam Fastball,-0.023,4.223,R,1.0,2.0
Jacob deGrom,Slider,1.051,1.079,R,2.0,2.0
Jacob deGrom,2 Seam Fastball,-0.58,1.864,R,3.0,2.0
Jacob deGrom,Curveball,1.002,1.547,L,0.0,0.0
Jacob deGrom,4 Seam Fastball,-0.574,1.999,L,1.0,0.0
Jacob deGrom,2 Seam Fastball,-0.795,0.863,L,1.0,1.0
Jacob deGrom,2 Seam Fastball,-0.9329999999999999,2.135,L,2.0,1.0
Jacob deGrom,4 Seam Fastball,-0.41200000000000003,1.923,L,2.0,2.0
Jacob deGrom,4 Seam Fastball,-1.196,3.158,L,2.0,2.0
Jacob deGrom,Slider,0.028999999999999998,1.68,R,0.0,0.0
Jacob deGrom,Slider,0.7070000000000001,1.565,R,0.0,1.0
Jacob deGrom,2 Seam Fastball,-1.754,2.602,R,1.0,1.0
Jacob deGrom,4 Seam Fastball,-0.084,3.574,R,0.0,0.0
Jacob deGrom,Changeup,-0.976,1.9340000000000002,R,0.0,1.0
Jacob deGrom,2 Seam Fastball,-0.6679999999999999,4.47,R,0.0,2.0
Jacob deGrom,2 Seam Fastball,-0.48200000000000004,2.763,R,1.0,2.0
Jacob deGrom,4 Seam Fastball,0.20600000000000002,1.6130000000000002,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,-0.054000000000000006,1.52,R,0.0,1.0
Jacob deGrom,4 Seam Fastball,1.099,1.146,R,0.0,2.0
Jacob deGrom,Curveball,-0.622,1.919,R,1.0,2.0
Jacob deGrom,4 Seam Fastball,0.228,2.955,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,0.902,2.04,R,0.0,1.0
Jacob deGrom,Changeup,-1.023,2.469,R,1.0,1.0
Jacob deGrom,4 Seam Fastball,1.112,3.222,R,1.0,2.0
Jacob deGrom,2 Seam Fastball,0.483,2.21,R,0.0,0.0
Jacob deGrom,Slider,1.176,1.501,R,0.0,1.0
Jacob deGrom,4 Seam Fastball,1.4069999999999998,2.93,R,1.0,1.0
Jacob deGrom,4 Seam Fastball,-0.17,2.2,R,2.0,1.0
Jacob deGrom,4 Seam Fastball,0.314,3.6439999999999997,R,2.0,2.0
Jacob deGrom,Changeup,-0.479,1.774,R,2.0,2.0
Jacob deGrom,2 Seam Fastball,1.085,2.142,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,0.086,1.942,R,1.0,0.0
Jacob deGrom,4 Seam Fastball,0.525,1.209,R,1.0,1.0
Jacob deGrom,4 Seam Fastball,0.032,2.057,R,2.0,1.0
Jacob deGrom,4 Seam Fastball,-0.319,2.727,R,2.0,2.0
Jacob deGrom,Slider,0.465,2.028,R,0.0,0.0
Jacob deGrom,Curveball,-0.509,2.343,R,0.0,1.0
Jacob deGrom,4 Seam Fastball,-0.418,3.197,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,1.38,2.108,R,0.0,1.0
Jacob deGrom,4 Seam Fastball,0.23600000000000002,0.847,R,1.0,1.0
Jacob deGrom,Changeup,-0.917,2.0580000000000003,R,2.0,1.0
Jacob deGrom,Changeup,-0.364,0.8640000000000001,R,2.0,2.0
Jacob deGrom,4 Seam Fastball,1.838,2.165,R,3.0,2.0
Jacob deGrom,2 Seam Fastball,-1.368,2.8930000000000002,L,0.0,0.0
Jacob deGrom,Changeup,-0.65,0.122,L,0.0,1.0
Jacob deGrom,4 Seam Fastball,-0.255,2.0069999999999997,L,1.0,1.0
Jacob deGrom,4 Seam Fastball,-0.524,1.591,L,1.0,2.0
Jacob deGrom,Curveball,-0.846,1.338,L,1.0,2.0
Jacob deGrom,4 Seam Fastball,0.111,2.003,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,-0.19,1.714,R,0.0,1.0
Jacob deGrom,4 Seam Fastball,0.20199999999999999,2.656,R,0.0,2.0
Jacob deGrom,4 Seam Fastball,-0.68,2.945,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,0.127,2.747,R,0.0,1.0
Jacob deGrom,4 Seam Fastball,-0.16,2.324,R,0.0,2.0
Jacob deGrom,Changeup,0.977,0.461,R,0.0,2.0
Jacob deGrom,Changeup,-0.29600000000000004,2.4290000000000003,R,1.0,2.0
Jacob deGrom,Slider,0.38299999999999995,3.3360000000000003,R,0.0,0.0
Jacob deGrom,Slider,0.8109999999999999,2.262,R,0.0,1.0
Jacob deGrom,4 Seam Fastball,0.578,2.995,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,0.76,3.361,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,1.111,2.7539999999999996,R,0.0,1.0
Jacob deGrom,4 Seam Fastball,0.368,3.048,R,1.0,1.0
Jacob deGrom,4 Seam Fastball,0.7659999999999999,3.033,R,1.0,2.0
Jacob deGrom,4 Seam Fastball,0.602,2.403,R,1.0,2.0
Jacob deGrom,4 Seam Fastball,-1.2009999999999998,2.1319999999999997,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,-0.009000000000000001,2.785,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,-1.128,1.564,L,0.0,0.0
Jacob deGrom,2 Seam Fastball,-1.189,2.418,L,1.0,0.0
Jacob deGrom,2 Seam Fastball,-1.272,2.313,L,1.0,1.0
Jacob deGrom,4 Seam Fastball,-0.88,4.312,R,0.0,0.0
Jacob deGrom,2 Seam Fastball,0.361,3.411,R,0.0,1.0
Jacob deGrom,Slider,0.879,2.489,R,1.0,1.0
Jacob deGrom,4 Seam Fastball,-0.174,2.512,R,0.0,0.0
Jacob deGrom,4 Seam Fastball,0.653,2.9939999999999998,R,0.0,1.0
Jacob deGrom,Slider,1.3330000000000002,1.705,R,0.0,0.0
Jacob deGrom,Slider,0.662,1.6119999999999999,R,1.0,0.0
Jacob deGrom,4 Seam Fastball,0.373,2.1319999999999997,R,1.0,1.0
Jacob deGrom,4 Seam Fastball,-0.484,4.063,R,1.0,2.0
