pitcher_id,pitch_type,px,pz,stand,b_count,s_count
Jose Alvarez,2 Seam Fastball,-0.616,2.623,L,0.0,0.0
Jose Alvarez,Curveball,-1.6280000000000001,1.469,L,0.0,1.0
Jose Alvarez,2 Seam Fastball,-0.196,2.72,L,1.0,1.0
Jake Arrieta,4 Seam Fastball,-0.13,2.086,L,0.0,0.0
Jake Arrieta,4 Seam Fastball,-1.085,3.543,L,0.0,1.0
Jake Arrieta,Sinker,-0.098,0.516,L,1.0,1.0
Jake Arrieta,Slider,-0.158,1.119,L,2.0,1.0
Jake Arrieta,4 Seam Fastball,-1.6059999999999999,1.788,L,3.0,1.0
Jake Arrieta,Sinker,-0.22899999999999998,3.443,L,0.0,0.0
Jake Arrieta,Sinker,1.025,2.07,L,1.0,0.0
Jake Arrieta,Sinker,-0.909,2.571,L,2.0,0.0
Jake Arrieta,Sinker,0.4920000000000001,1.778,L,2.0,1.0
Jake Arrieta,4 Seam Fastball,-0.19399999999999998,3.898,L,2.0,2.0
Jake Arrieta,Slider,-1.285,1.8840000000000001,L,2.0,2.0
Jake Arrieta,Sinker,-0.611,2.199,R,0.0,0.0
Jake Arrieta,Sinker,-0.74,2.089,R,0.0,1.0
Jake Arrieta,4 Seam Fastball,-1.369,2.291,L,0.0,0.0
Jake Arrieta,Sinker,-1.4069999999999998,3.281,L,1.0,0.0
Jake Arrieta,Sinker,-1.7730000000000001,3.4160000000000004,L,2.0,0.0
Jake Arrieta,Sinker,-1.7,1.893,L,3.0,0.0
Jake Arrieta,Slider,-1.1640000000000001,2.9189999999999996,R,0.0,0.0
Jake Arrieta,Slider,-0.18100000000000002,1.466,R,0.0,1.0
Jake Arrieta,Curveball,1.054,0.113,R,1.0,1.0
Jake Arrieta,Slider,-0.654,3.262,R,2.0,1.0
Jake Arrieta,Slider,0.5529999999999999,2.333,R,2.0,2.0
Jake Arrieta,Slider,-0.8690000000000001,2.385,L,0.0,0.0
Jake Arrieta,Slider,0.4270000000000001,3.1239999999999997,L,0.0,1.0
Jake Arrieta,Sinker,0.406,2.912,L,0.0,2.0
Jake Arrieta,Sinker,-0.233,2.697,R,0.0,0.0
Jake Arrieta,Sinker,0.156,3.2310000000000003,R,0.0,1.0
Jake Arrieta,4 Seam Fastball,0.504,3.58,R,0.0,2.0
Jake Arrieta,Slider,0.659,1.079,R,0.0,2.0
Jake Arrieta,Slider,-0.009000000000000001,2.175,R,1.0,2.0
Jake Arrieta,Sinker,-0.41200000000000003,2.311,L,0.0,0.0
Jake Arrieta,Slider,-0.38,1.7619999999999998,L,0.0,1.0
Jake Arrieta,4 Seam Fastball,0.373,2.594,R,0.0,0.0
Jake Arrieta,4 Seam Fastball,1.524,3.739,R,0.0,1.0
Jake Arrieta,Sinker,0.039,1.305,R,1.0,1.0
Jake Arrieta,4 Seam Fastball,0.013999999999999999,2.6910000000000003,R,2.0,1.0
Jake Arrieta,Slider,0.602,1.999,R,2.0,2.0
Jake Arrieta,Sinker,-1.393,3.845,L,0.0,0.0
Jake Arrieta,Slider,-1.101,3.5589999999999997,L,1.0,0.0
Jake Arrieta,Sinker,-1.105,2.5,L,2.0,0.0
Jake Arrieta,Sinker,-0.929,3.431,L,2.0,1.0
Jake Arrieta,Slider,-0.6629999999999999,1.9669999999999999,L,2.0,2.0
Jake Arrieta,Sinker,0.7070000000000001,3.0860000000000003,L,0.0,0.0
Jake Arrieta,Sinker,-0.8190000000000001,4.149,L,0.0,1.0
Jake Arrieta,Slider,0.34299999999999997,3.062,L,1.0,1.0
Jake Arrieta,Slider,0.779,2.206,R,0.0,0.0
Jake Arrieta,Slider,1.063,2.229,R,0.0,1.0
Jake Arrieta,4 Seam Fastball,-0.652,2.344,L,0.0,0.0
Jake Arrieta,Sinker,-1.371,1.536,L,0.0,1.0
Jake Arrieta,Slider,-1.376,2.3,L,1.0,1.0
Jake Arrieta,Curveball,-0.489,0.809,L,1.0,2.0
Jake Arrieta,Sinker,-1.6380000000000001,3.485,R,0.0,0.0
Jake Arrieta,Sinker,0.818,3.193,R,0.0,1.0
Jake Arrieta,Curveball,0.6629999999999999,0.578,R,1.0,1.0
Jake Arrieta,Slider,0.027000000000000003,1.6769999999999998,R,2.0,1.0
Jake Arrieta,4 Seam Fastball,0.56,2.05,R,2.0,2.0
Jake Arrieta,4 Seam Fastball,-0.8059999999999999,2.305,L,0.0,0.0
Jake Arrieta,Sinker,-0.6,2.763,L,0.0,1.0
Jake Arrieta,Sinker,-1.409,3.699,L,0.0,2.0
Jake Arrieta,Curveball,-1.528,1.849,L,1.0,2.0
Jake Arrieta,Sinker,0.9059999999999999,2.622,L,2.0,2.0
Jake Arrieta,Slider,-0.36200000000000004,2.3369999999999997,L,3.0,2.0
Jake Arrieta,Sinker,0.18100000000000002,2.582,R,0.0,0.0
Jake Arrieta,Slider,0.396,2.237,R,0.0,1.0
Jake Arrieta,4 Seam Fastball,0.966,4.137,R,0.0,2.0
Jake Arrieta,4 Seam Fastball,1.2429999999999999,1.645,R,1.0,2.0
Jake Arrieta,Sinker,0.07200000000000001,2.085,R,2.0,2.0
Jake Arrieta,Curveball,-0.589,1.2570000000000001,R,2.0,2.0
Jake Arrieta,Sinker,-2.878,3.0180000000000002,L,0.0,0.0
Jake Arrieta,Slider,-0.292,3.675,L,1.0,0.0
Jake Arrieta,Sinker,-0.579,2.489,L,2.0,0.0
Jake Arrieta,Sinker,-0.53,2.767,L,2.0,1.0
Jake Arrieta,Sinker,-0.486,2.8710000000000004,L,2.0,2.0
Jake Arrieta,4 Seam Fastball,-0.321,3.767,R,0.0,0.0
Jake Arrieta,Sinker,0.937,3.4760000000000004,R,1.0,0.0
Jake Arrieta,Sinker,-0.508,1.6669999999999998,R,2.0,0.0
Jake Arrieta,4 Seam Fastball,-0.664,2.235,R,2.0,1.0
Jake Arrieta,Sinker,-0.7490000000000001,3.411,R,2.0,2.0
Jake Arrieta,Sinker,-0.965,2.533,L,0.0,0.0
Jake Arrieta,Slider,-0.485,2.0180000000000002,L,0.0,1.0
Jake Arrieta,Sinker,0.245,3.9419999999999997,L,0.0,0.0
Jake Arrieta,Changeup,-0.483,1.902,L,1.0,0.0
Jake Arrieta,Sinker,0.067,2.727,R,0.0,0.0
Jake Arrieta,Curveball,-0.47,2.262,R,0.0,1.0
Jake Arrieta,4 Seam Fastball,0.13,1.8419999999999999,L,0.0,0.0
Jake Arrieta,Changeup,-0.5820000000000001,0.879,L,0.0,1.0
Jake Arrieta,Slider,-1.093,1.709,L,1.0,1.0
Jake Arrieta,4 Seam Fastball,1.1420000000000001,2.62,L,1.0,2.0
Jake Arrieta,4 Seam Fastball,-1.3559999999999999,2.207,L,2.0,2.0
Jake Arrieta,Slider,-1.102,0.812,L,3.0,2.0
Jake Arrieta,Slider,0.051,2.43,R,0.0,0.0
Jake Arrieta,Slider,-0.6,1.969,L,0.0,0.0
Jake Arrieta,Slider,-0.157,2.524,R,0.0,0.0
Jake Arrieta,Slider,-0.125,2.121,R,0.0,1.0
Jake Arrieta,4 Seam Fastball,-0.006,1.994,L,0.0,0.0
Jake Arrieta,Changeup,-0.758,0.759,L,0.0,1.0
Jake Arrieta,Changeup,-1.9080000000000001,1.034,L,0.0,2.0
Jake Arrieta,Changeup,-1.607,0.753,L,1.0,2.0
Jake Arrieta,Slider,-1.469,1.756,L,2.0,2.0
Jake Arrieta,Slider,-0.769,2.917,L,3.0,2.0
Jake Arrieta,Sinker,-0.32299999999999995,3.784,R,0.0,0.0
Jake Arrieta,Sinker,-0.001,2.425,R,1.0,0.0
Jake Arrieta,Sinker,-0.33899999999999997,2.721,R,1.0,1.0
Jake Arrieta,Curveball,-0.633,3.1460000000000004,R,1.0,2.0
Jason Vargas,4 Seam Fastball,-0.258,1.646,L,0.0,0.0
Jason Vargas,Knuckle Curve,-0.184,1.999,L,0.0,1.0
Jason Vargas,Changeup,-1.0959999999999999,0.213,L,0.0,2.0
Jason Vargas,2 Seam Fastball,0.455,0.904,L,1.0,2.0
Jason Vargas,2 Seam Fastball,0.799,2.082,L,2.0,2.0
Jason Vargas,4 Seam Fastball,-1.32,1.4040000000000001,L,2.0,2.0
Jason Vargas,4 Seam Fastball,-0.435,1.521,R,0.0,0.0
Jason Vargas,4 Seam Fastball,-1.55,1.893,R,0.0,1.0
Jason Vargas,4 Seam Fastball,-1.183,2.759,R,1.0,1.0
Jason Vargas,2 Seam Fastball,0.301,1.817,R,2.0,1.0
Jason Vargas,2 Seam Fastball,-0.309,2.989,R,0.0,0.0
Jason Vargas,4 Seam Fastball,-1.669,2.309,R,0.0,1.0
Jason Vargas,Changeup,-0.243,0.33899999999999997,R,1.0,1.0
Jason Vargas,Changeup,0.21100000000000002,1.804,R,2.0,1.0
Jason Vargas,2 Seam Fastball,1.278,1.463,R,2.0,2.0
Jason Vargas,Knuckle Curve,0.079,2.191,R,0.0,0.0
Jason Vargas,Changeup,0.48100000000000004,2.045,R,0.0,1.0
Jason Vargas,4 Seam Fastball,-0.868,3.335,R,0.0,0.0
Jason Vargas,Knuckle Curve,0.87,1.973,R,0.0,1.0
Jason Vargas,Changeup,2.57,1.801,R,0.0,2.0
Jason Vargas,Knuckle Curve,-0.023,1.084,R,1.0,2.0
Jason Vargas,4 Seam Fastball,0.272,1.702,R,0.0,0.0
Jason Vargas,4 Seam Fastball,0.7170000000000001,2.125,R,0.0,0.0
Jason Vargas,Knuckle Curve,-1.032,1.827,R,0.0,1.0
Jason Vargas,4 Seam Fastball,-0.159,0.863,R,0.0,2.0
Jason Vargas,4 Seam Fastball,-1.857,1.771,R,1.0,2.0
Jason Vargas,Changeup,1.569,1.982,R,2.0,2.0
Jason Vargas,4 Seam Fastball,0.40399999999999997,2.617,R,0.0,0.0
Jason Vargas,Changeup,1.048,1.815,R,0.0,1.0
Jason Vargas,Changeup,1.2690000000000001,0.8859999999999999,R,0.0,2.0
Jason Vargas,4 Seam Fastball,-0.991,2.024,R,1.0,2.0
Jason Vargas,2 Seam Fastball,0.684,1.7519999999999998,R,0.0,0.0
Jason Vargas,Knuckle Curve,-0.655,0.5670000000000001,R,0.0,1.0
Jason Vargas,Changeup,-0.45299999999999996,0.71,R,1.0,1.0
Jason Vargas,2 Seam Fastball,0.8009999999999999,2.291,R,2.0,1.0
Jason Vargas,Knuckle Curve,-0.8640000000000001,1.182,L,0.0,0.0
Jason Vargas,4 Seam Fastball,-1.9140000000000001,1.496,L,0.0,1.0
Jason Vargas,2 Seam Fastball,1.204,1.021,L,1.0,1.0
Jason Vargas,Knuckle Curve,-0.285,2.237,L,2.0,1.0
Jason Vargas,4 Seam Fastball,-2.4859999999999998,2.0669999999999997,R,0.0,0.0
Jason Vargas,4 Seam Fastball,-0.682,2.773,R,1.0,0.0
